Levada;Instrumento;Compasso_1;Compasso_2;Duracao;Loop_C2
Reggae;Repique;pe te LE co | pe te LE co | pe te LE co | pe TE.TE LE co;pe te LE co | pe te LE co | pe te LE co | pe TE.TE LE co;;
Reggae;Caixa;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;;
Reggae;Xequerê;-- -- le -- | -- -- le -- | -- -- le -- | pe te le --;-- -- le -- | -- -- le -- | -- -- le -- | pe te le --;;
Reggae;Dobra;-- -- -- -- | pe te le -- | -- -- -- -- | pe te le --;-- -- -- -- | pe te le -- | -- -- le co | -- te le --;;
Reggae;Fundo 1;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;
Reggae;Fundo 2;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;
Ijexá 1;Dobra;-- -- -- co | pe -- -- -- | -- -- -- co | pe -- -- --;-- -- -- co | pe -- -- -- | -- -- le -- | -- -- le --;;
Ijexá 1;Caixa;PE te le co | PE te LE~ co | PE te le co | PE te LE~ co;PE te le co | PE te LE~ co | PE te le co | PE te LE~ co;;
Ijexá 2;Dobra;-- -- -- co | pe -- le -- | -- -- -- co | pe -- le --;-- -- -- co | pe -- le -- | -- -- le -- | pe -- le --;;
Samba Reggae;Dobra;(pe) -- -- -- | -- -- le -- | -- -- -- -- | pe te le co;pe -- -- -- | -- -- le -- | -- -- -- -- | pe te le co;;
Samba Duro;Dobra;(pe) -- -- -- | pe te le co | pe -- -- -- | pe te le co;pe -- -- -- | pe te le co | pe te le co | pe te le co;;
Pagodão;Dobra;pe -- -- -- | -- -- le -- | pe -- -- -- | -- -- le --;pe -- -- -- | -- -- le -- | pe -- le -- | -- -- le --;;
Xote;Dobra;pe* -- -- -- | pe -- le -- | pe* -- -- -- | -- te le --;pe* -- -- -- | pe -- le -- | pe* -- -- -- | -- te le --;;
Baião;Dobra;pe* -- -- co | -- -- -- co | pe* -- -- co | -- -- -- co;pe* -- -- co | -- -- -- co | pe* -- -- co | -- -- le co;;
Arrastapé;Dobra;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;
Samba Reggae;Caixa;pe te le~ co | pe te le~ co | pe te le~ co | pe te le~ co;pe te le~ co | pe te le~ co | pe te le~ co | pe te le~ co;;
Galope;Dobra;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;
Funk 1;Dobra;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- le co;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;
Samba Duro;Caixa;PE te le CO | pe te LE co | PE te le CO | pe te LE co;PE te le CO | pe te LE co | PE te le CO | pe te LE co;;
PeTaLa;Dobra;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Caixa;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Repique;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Fundo 1;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Fundo 2;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Xequerê;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
Pe;Dobra;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Caixa;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Repique;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Fundo 1;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Fundo 2;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Xequerê;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
PeLe;Dobra;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Caixa;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Repique;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Fundo 1;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Fundo 2;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
