Levada;Instrumento;Compasso_1;Compasso_2;Compasso_3;Compasso_4;Duracao;Loop_C2
Alujá;Caixa;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;;
Alujá;Dobra;(pe) -- -- | -- -- -- | pe ta la | pe ta la;pe -- -- | -- -- -- | pe ta la | pe ta la;pe -- -- | -- -- -- | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
Alujá;Fundo 1;(pe) -- -- | (pe) -- -- | (pe) -- -- | (pe) -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- la | pe -- la;;
Alujá;Fundo 2;(pe) -- -- | (pe) -- -- | (pe) -- -- | (pe) -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- la | pe -- la;;
Alujá;Repique;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;;
Alujá;Xequerê;(pe) -- -- | (pe) -- -- | (pe) (ta) (la) | (pe) (ta) (la);pe -- -- | pe -- -- | pe ta la | pe ta la;pe -- -- | -- -- -- | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
Funk 1;Dobra;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- le co;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;;;
Funk 1;Fundo 1;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;;;
Funk 1;Fundo 2;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;;;
Funk 1;Caixa;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Funk 1;Repique;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Funk 1;Xequerê;pe -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;pe -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;;;;
Funk 2;Dobra;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- co;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- co;;;;
Funk 2;Fundo 1;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;;;;
Funk 2;Fundo 2;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;;;;
